PID,TIME,%CPU,%MEM,USER,COMMAND
184909,00:00:00,0.0,0.1,www-data,apache2
184910,00:00:00,0.0,0.2,www-data,apache2
184911,00:00:00,0.0,0.1,www-data,apache2
184912,00:00:00,0.0,0.1,www-data,apache2
184913,00:00:02,0.0,0.2,www-data,apache2
184970,00:00:00,0.0,0.1,www-data,apache2
184974,00:00:00,0.0,0.1,www-data,apache2
185250,00:00:00,0.0,0.1,www-data,apache2
185579,00:00:00,0.0,0.0,vektor,mysql
186603,00:00:00,0.0,0.1,www-data,apache2
188369,00:00:00,0.0,0.1,www-data,apache2
189569,00:01:15,0.4,1.0,vektor,elisa
189632,00:00:50,0.2,1.0,vektor,staruml
189635,00:00:00,0.0,0.2,vektor,staruml
189636,00:00:00,0.0,0.2,vektor,staruml
189638,00:00:00,0.0,0.0,vektor,staruml
189662,00:00:19,0.1,0.7,vektor,staruml
189675,00:00:00,0.0,0.3,vektor,staruml
189744,00:01:09,0.4,1.4,vektor,staruml
191551,00:00:01,0.0,0.0,root,kworker/1:0H-events_highpri
192237,00:00:01,0.0,0.0,root,kworker/2:1H-kblockd
192732,00:00:00,0.0,0.0,root,kworker/u9:1-rb_allocator
193579,00:00:00,0.0,0.0,root,kworker/u9:0-rb_allocator
194076,00:06:03,3.0,3.0,vektor,Web,Content
194228,00:02:58,1.4,2.0,vektor,telegram
195307,00:00:00,0.0,0.0,root,kworker/3:3-events
196493,00:00:00,0.0,0.0,root,irq/127-mei_me
196944,00:00:01,0.0,0.0,root,kworker/3:1H-events_highpri
197132,00:03:22,2.7,2.2,vektor,Web,Content
197411,00:00:03,0.0,0.7,vektor,Privileged,Cont
197639,00:00:01,0.0,0.0,root,kworker/1:1-events
197764,00:02:15,1.9,2.0,vektor,Web,Content
197807,00:02:18,2.0,2.0,vektor,Web,Content
198201,00:13:31,12.7,0.7,vektor,ksysguard
198208,00:00:59,0.9,0.0,vektor,ksysguardd
198211,00:00:34,0.5,0.0,vektor,ksgrd_network_h
198287,00:00:01,0.0,0.0,vektor,zsh
198368,00:00:00,0.0,0.0,vektor,zsh
198369,00:00:00,0.0,0.0,vektor,zsh
198372,00:00:00,0.0,0.0,vektor,zsh
198377,00:00:00,0.0,0.0,vektor,gitstatusd-linu
198609,00:00:04,0.0,0.0,root,kworker/u8:1+events_unbound
199846,00:00:00,0.0,0.0,root,kworker/1:2-events
200971,00:00:16,0.4,0.0,vektor,ksgrd_network_h
201398,00:00:00,0.0,0.0,root,kworker/0:1-events
201845,00:00:00,0.0,0.0,vektor,zsh
201915,00:00:00,0.0,0.0,vektor,zsh
201917,00:00:00,0.0,0.0,vektor,zsh
201919,00:00:00,0.0,0.0,vektor,zsh
201924,00:00:00,0.0,0.0,vektor,gitstatusd-linu
201937,00:00:00,0.0,0.0,vektor,bash
202080,00:00:00,0.0,0.0,vektor,zsh
202085,00:00:00,0.0,0.0,vektor,zsh
202153,00:00:00,0.0,0.0,vektor,zsh
202154,00:00:00,0.0,0.0,vektor,zsh
202156,00:00:00,0.0,0.0,vektor,gitstatusd-linu
202721,00:00:40,1.9,0.0,vektor,WD-TabNine
203016,00:00:01,0.1,0.0,root,kworker/2:2-events
203435,00:00:00,0.0,0.0,root,kworker/3:0-events
203438,00:00:00,0.0,0.0,root,kworker/0:0-cgroup_destroy
203505,00:00:00,0.0,0.0,vektor,man
203521,00:00:00,0.0,0.0,vektor,less
203659,00:00:01,0.0,0.0,root,kworker/u8:4+events_unbound
203783,00:00:02,0.2,0.0,root,kworker/2:0-events
203787,00:00:00,0.0,0.1,vektor,file.so
203790,00:00:00,0.0,0.5,vektor,thumbnail.so
203918,00:00:00,0.0,0.0,root,kworker/u8:3-events_unbound
204188,00:00:00,0.0,0.0,root,kworker/u8:0-i915
204189,00:00:00,0.0,0.0,root,kworker/u8:5-i915
204318,00:00:00,0.0,0.0,root,kworker/0:2-cgroup_destroy
204319,00:00:00,0.0,0.0,root,kworker/1:0
204354,00:00:00,0.0,0.1,vektor,http.so
204355,00:00:00,0.0,0.1,vektor,http.so
204404,00:00:09,6.3,1.3,vektor,Web,Content
204503,00:00:00,0.0,0.0,root,kworker/3:1-events
204504,00:00:00,0.0,0.0,root,kworker/3:2
204575,00:00:00,0.0,0.0,vektor,ps
204576,00:00:00,0.0,0.0,vektor,tr
204577,00:00:00,0.0,0.0,vektor,sed
